Latitude,Longitude,LandslideN,Country,Date,Day,Month,Year,Continent,Fatalities,Trigger,Report_1,Source_1,Report_2,Source_2,Report_3,Source_3,Report_4,Source_4,Location_M,Precision,Location_R,geometry,WKT_GEOM
"22,39243692","91,82013994",1028,Bangladesh,2007-06-10,10,6,2007,S. Asia,5,rainfall,"Of the recovered bodies, the highest 31 were recovered from  a lemon garden in Hathazari upazila followed by 29 in Pahartali, 9 in Kusumbagh, 8 in Bhatiari Sekendar Colony area and five each on Chittagong University campus and at Baizid Bostami. Locals s",http://nation.ittefaq.com/artman/publish/article_36763.shtml,,,,,,,Bayazid,"15925080,3734",Baizid Bostami,POINT Z (91.82013994 22.39243692 1028),POINT (91.82013994 22.39243692)
"22,35225947","91,816567",3707,Bangladesh,2013-07-28,28,7,2013,S. Asia,2,rainfall,"Two women including a mother and a daughter were killed in a mudslide in Chittagong early Sunday, following a heavy overnight downpour.

The incident occurred at the Tankir Pahar area of Lalkhan Bazar in Chittagong around 5:30am.   Akbar, who owns the c",http://www.dhakatribune.com/bangladesh/2013/jul/28/mother-daughter-killed-chittagong-landslide,,,,,,,Lal khan,"1650861,04539",Tankir Pahar area of Lalkhan Bazar in Chittagong,POINT Z (91.816567 22.35225947 3707),POINT (91.816567 22.35225947)
"25,16157561","92,01023654",4568,Bangladesh,2015-11-12,12,11,2015,S. Asia,1,illegal hillcutting,"A minor girl was killed in a landslide at Jaflong in Goainghat upazila of Sylhet district on Thursday. The deceased was identified as Sabina, 10, daughter of late Basu Mia of Rasulpur village in the upazila. Quoting witnesses, police said Sabina died on",http://print.thefinancialexpress-bd.com/2015/11/13/117353,,,,,,,Jaflong,"19609024,8406",Jaflong in Goainghat upazila of Sylhet,POINT Z (92.01023654 25.16157561 4568),POINT (92.01023654 25.16157561)
"25,16157561","92,01023654",5085,Bangladesh,2017-02-19,19,2,2017,S. Asia,2,illegal mining,"Two labourers were killed and another was injured in a landslide while they were extracting stone in Jaflong area of Sylhet's Gowainghat yesterday afternoon.

They are Kamruzzaman, son of Madris Ali of Telikhal village in Companiganj upazila, and Tajuddi",http://www.thedailystar.net/backpage/illegal-stone-extraction-2-workers-die-landslide-1363873,,,,,,,Jaflong,"19609024,8406","Jaflong, Gowainghat, Sylhet",POINT Z (92.01023654 25.16157561 5085),POINT (92.01023654 25.16157561)
"25,16157561","92,01023654",5101,Bangladesh,2017-03-08,8,3,2017,S. Asia,1,illegal mining,"In the latest incident on Mar 8, a worker died at quarry at Jaflong's Joom area.
",http://bdnews24.com/bangladesh/2017/03/16/landslide-at-quarry-in-sylhet-s-jaflong-leaves-two-workers-killed,,,,,,,Jaflong,"19609024,8406","Joom (Jhum), Jaflong",POINT Z (92.01023654 25.16157561 5101),POINT (92.01023654 25.16157561)
"22,65597736","92,17321046",5107,Bangladesh,2017-03-15,15,3,2017,S. Asia,3,construction,"The under-construction wall of a tin-shed house collapsed since it had been built without taking any precautions.

At least three people were killed in a landslide while building a wall on the foot of a hill in College Gate area of the town Wednesday.

T",http://www.dhakatribune.com/bangladesh/nation/2017/03/16/3-killed-rangamati-landslide/,,,,,,,Rangamati,"1851644,20907","College Gate, Rangamati",POINT Z (92.17321046 22.65597736 5107),POINT (92.17321046 22.65597736)
"25,16157561","92,01023654",5108,Bangladesh,2017-03-16,16,3,2017,S. Asia,2,illegal mining,"A landslide at a quarry in Sylhet has left two workers killed and as many hospitalized.

The incident has been reported from Gowainghat Upazila's Jaflong on Thursday morning,

Gowainghat police OC Delwar Hossain said the landslide occurred at a quarry in",http://bdnews24.com/bangladesh/2017/03/16/landslide-at-quarry-in-sylhet-s-jaflong-leaves-two-workers-killed,,,,,,,Jaflong,"19609024,8406","Nayabasti, Jaflong, Gowainghat",POINT Z (92.01023654 25.16157561 5108),POINT (92.01023654 25.16157561)
"22,65597736","92,17321046",5206,Bangladesh,2017-06-12,12,6,2017,S. Asia,1,rainfall,"Two children were killed in separate incidents of landslide in Rangamati town and Kaptai on Monday.

The deceased were identified as Naima Aktar, 5, daughter of Shahjahan of Rangamati sadar upazila and Md Ramjan Ali, 8, son of Md Selim Mia of Natunbazar",http://en.prothom-alo.com/bangladesh/news/150863/Landslide-kills-two-in-Rangamati,,,,,,,Rangamati,"1851644,20907",Rangamati sadar upazila,POINT Z (92.17321046 22.65597736 5206),POINT (92.17321046 22.65597736)
"22,53413353","91,94668243",5211,Bangladesh,2017-06-12,12,6,2017,S. Asia,5,rainfall,"Two officers and two soldiers of the Bangladesh Army (Major Mohammad Mahfuzul Haq, Captain Md Tanvir Salam Shanto, Corporal Mohammad Azizul Haq and soldier Md Shahin Alam) were killed after a second landslide struck a highway-clearing operation in Rangam",https://en.wikipedia.org/wiki/2017_Bangladesh_landslides,"Four army men including two officers have been killed in a landslide in Rangamati, said Inter Service Public Relations (ISPR).

Besides, 10 army men were also injured in the incident while another remained missing, ISPR told The Daily Star.

The Daily St",http://103.16.74.132/country/army-men-among-dead-landslides-rangamati-hilly-district-1419613,,,,,Road_Rangamati_Chittagong,"54573107,8167","Manikchari-Chittagong road, Rangamati",POINT Z (91.94668243 22.53413353 5211),POINT (91.94668243 22.53413353)
"21,59833734","91,89653757",5253,Bangladesh,2017-07-04,4,7,2017,S. Asia,1,rainfall,"A man has been killed in Cox's Bazar after he was buried under a landslide.
The incident was reported on Tuesday morning from the island Upazila of Moheshkhali.

The victim has been identified as 33-year-old Monowar Alam of Mahughata village at Hoanak Un",http://bdnews24.com/bangladesh/2017/07/04/woman-killed-in-coxs-bazar-landslide,,,,,,,Hoanak,"54930332,4925","Mahughata village at Hoanak Union Parishad, Cox's*",POINT Z (91.89653757 21.59833734 5253),POINT (91.89653757 21.59833734)
"21,35428068","92,04568926",5287,Bangladesh,2017-07-22,22,7,2017,S. Asia,1,rainfall,"A Dhaka University student died after a landslide struck a hill, popular with tourists, in Cox’s Bazar on Saturday, police say.
 The incident was reported in Himchhari, just 5km off the beach town of Cox’s Bazar. Three others injured in the landslide",http://businessnews24bd.com/du-student-dies-in-coxs-bazar-landslide/,,,,,,,Himchari,"40460506,2575","Himchhari, Cox's Bazar",POINT Z (92.04568926 21.35428068 5287),POINT (92.04568926 21.35428068)
"21,44831531","92,01052849",5290,Bangladesh,2017-07-25,25,7,2017,S. Asia,2,rainfall,"Four people, including two children, have been killed and 10 others injured in separate incidents of landslides in Cox’s Bazar.

The deceased are Saiyma, 5, daughter of Ziaur Rahman of Ramu, Saiyam’s brother Jahan, 7, Mohammad Shahed, 18, and Saddam,",http://www.dhakatribune.com/bangladesh/nation/2017/07/25/4-killed-coxs-bazar-landslides/,,,,,,,Cox's Bazar town,"87027032,4132","Light House area, Cox's Bazar",POINT Z (92.01052849 21.44831531 5290),POINT (92.01052849 21.44831531)
"25,16157561","92,01023654",5459,Bangladesh,2017-11-13,13,11,2017,S. Asia,1,illegal mining,"A 17-year-old girl was killed and three others injured in a landslide in Mandir Jum area of Jaflong in Sylhet yesterday morning.

Witnesses said the four were illegally extracting stone by digging holes in the ground near Kali Mandir of the Mandir Jum ar",http://www.thedailystar.net/backpage/stone-extraction-teenage-girl-killed-3-hurt-landslide-1491022,,,,,,,Jaflong,"19609024,8406",Mandir Jum area of Jaflong in Sylhet,POINT Z (92.01023654 25.16157561 5459),POINT (92.01023654 25.16157561)
"26,8026158","91,55865965",2028,Bhutan,2009-09-21,21,9,2009,S. Asia,4,earthquake,"In an area seven kilometres away from Samdrupjongkhar town, four Dantak labourers, three women and one man, clearing the road after the first tremor, were killed by falling boulders.",http://www.kuenselonline.com/modules.php?name=News&file=article&sid=13499,,,,,,,Samdrupjonkhar,"658054,159494","Samdrupjongkhar town, (Samdrup, Jongkhar)",POINT Z (91.55865965 26.8026158 2028),POINT (91.55865965 26.8026158)
"27,58714601","90,14176721",4525,Bhutan,2015-10-15,15,10,2015,S. Asia,4,unknown,"Three men died on impact and another on the way to the hospital when falling boulders and landslide struck the army truck they were travelling in at Adagangchu, about 36km from Wangdue towards Trongsa on October 15.

There were seven men including the dr",http://www.kuenselonline.com/falling-boulders-kill-four/,,,,,,,Nyisho and Dangchhu,"288082706,797","Adagangchu, about 36km from Wangdue towards Trong*",POINT Z (90.14176721 27.58714601 4525),POINT (90.14176721 27.58714601)
"27,04922937","91,19951428",4755,Bhutan,2016-06-13,13,6,2016,S. Asia,1,construction,"A 54-year old excavator operator of the Construction Development Corporation Ltd, and a father of four, died on impact after a boulder hit him and threw him off the road.

The incident occurred at the on-going Nganglam-Gyalpoizhing highway construction s",www.kuenselonline.com/falling-boulder-kills-man/,,,,,,,"Jurmey, Gongdue and Chhimung merged","295186371,017",Nganglam-Gyalpoizhing highway construction site n*,POINT Z (91.19951428 27.04922937 4755),POINT (91.19951428 27.04922937)
"27,16860208","91,55507255",85,Bhutan,2004-07-09,9,7,2004,S. Asia,1,rainfall,"On the same day, another 38-year-old man from Trashiyangphu, Wamrong dungkhag, died on his way to the hospital after he was partially buried by the landslide although he managed to pull himself out.",http://www.kuenselonline.com/article.php?sid=4286,,,,,,,Wamrong,"261096789,848","Trashiyangphu, Wamrong dungkhag",POINT Z (91.55507255 27.16860208 85),POINT (91.55507255 27.16860208)
"-15,49598089","-67,81825921",4286,Bolivia,2015-04-03,3,4,2015,S. America,2,legal mining,"Seven dead and several wounded was the balance left by the collapse of a gold mine open pit, which occurred last Friday in the Bolivian town of Teoponte (north of La Paz).

The barranquilleros who were buried when they worked about 20 meters deep, were r",http://lainfo.es/en/2015/04/05/bolivia-landslide-gold-mine-leaves-seven-dead/,,,,,,,Teoponte,"497249,238805",Teoponte,POINT Z (-67.81825921 -15.49598089 4286),POINT (-67.81825921 -15.49598089)
"44,1336025","18,12409259",4230,Bosnia,2015-01-04,4,1,2015,S. Europe,1,rainfall,"A woman was killed and three other people injured when a landslide wiped out a group of poor homes in central Bosnia, authorities said.Rescuers searched for hours before they pulled two children and a woman alive from the rubble in the town of Kakanj.
Se",http://www.belfasttelegraph.co.uk/news/world-news/woman-killed-in-bosnia-landslide-30883461.html,,,,,,,Kakanj,"3488682,07293",Kakanj,POINT Z (18.12409259 44.1336025 4230),POINT (18.12409259 44.1336025)
"44,82381339","18,57198555",4255,Bosnia,2015-02-21,21,2,2015,S. Europe,4,illegal mining,"Rescuers recovered bodies of four men believed to be illegal miners 18 hours after a landslide at an opencast lignite coal mine at Dubrave in northeast Bosnia, police and officials said on Sunday.

""All four bodies were recovered and taken to the Tuzla h",http://www.reuters.com/article/2015/02/22/us-bosnia-accident-idUSKBN0LQ0T020150222,,,,,,,Dubrave,"5365766,2278",Dubrave,POINT Z (18.57198555 44.82381339 4255),POINT (18.57198555 44.82381339)
"-23,73992399","-46,53868859",257,Brazil,2005-01-11,11,1,2005,S. America,9,rainfall,"A landslide caused by heavy rains killed six children and one adult in a shantytown by the Brazilian city of Sao Paulo today, a firefighter said.  A 4-year-old girl was also missing. The tragedy occurred in the hillside Jardim Silvina favela, one of nume","http://www.thecouriermail.news.com.au/common/story_page/0,5936,11927794%255E1702,00.html","Slopes weakened by days of rain gave way yesterday morning, demolishing houses and killing three children, including a boy who was asleep in his bedroom. The children died in two separate mudslides in a southern section of Tijuana known as San Antonio de",http://www.signonsandiego.com/news/mexico/tijuana/20050112-9999-1n12tjkids.html,"The death toll rose to nine in a mudslide that swept away shacks on a hillside near Sao Paulo, after a boy who was rescued from the disaster later died, authorities said.Firefighters had originally put the death toll at eight after heavy rains early on W",http://news.ninemsn.com.au/article.aspx?id=28358,,,Jardim Silvina,"1839427,4862","Jardim Silvina favela, Sao Bernardo do Campo, Sao*",POINT Z (-46.53868859 -23.73992399 257),POINT (-46.53868859 -23.73992399)
"-23,00750597","-44,32286341",2192,Brazil,2010-01-01,1,1,2010,S. America,21,rainfall,"The landslide at Morro da Carioca, Angra dos Reis

This landslide is believed to have killed ten (updated from five) people. There must be real concern about the other houses located at the toe of this slope, which appears to have signs of distress in ot",http://daveslandslideblog.blogspot.com/2010/01/latest-updates-on-brazil-landslides.html,"Do total de vítimas no município, 31 corpos foram encontrados sob os escombros na Praia do Bananal, na Ilha Grande. Outras 21 pessoas morreram depois de um deslizamento de terra no Morro da Carioca.  Veja vídeos e fotos da tragédia","http://g1.globo.com/Noticias/SaoPaulo/0,,MUL1437152-5605,00-VITIMA+DE+SOTERRAMENTO+EM+ILHA+GRANDE+E+SEPULTADA+NA+GRANDE+SP.html",,,,,Morro Da Carioca,"68501,1684062","(Costa Verde) Morro da Carioca, Angra dos Reis",POINT Z (-44.32286341 -23.00750597 2192),POINT (-44.32286341 -23.00750597)
"-12,91088297","-38,44300417",2306,Brazil,2010-04-15,15,4,2010,S. America,2,rainfall,"In Vila Canaria, where the land slid on a house and killed two boys, 2 and 6 years, residents left their homes",http://oglobo.globo.com/cidades/mat/2010/04/16/bahia-ja-registra-seis-mortes-em-decorrencia-das-chuvas-916355406.asp,,,,,,,Vila Canaria,"894988,321046","Vila Canaria, Salvador",POINT Z (-38.44300417 -12.91088297 2306),POINT (-38.44300417 -12.91088297)
"-7,99823199","-34,91266096",2399,Brazil,2010-06-18,18,6,2010,S. America,1,rainfall,"The other two fatalities, a 1-year-old boy and an adult, were also buried under different mudslides in the Dois Unidos neighborhood, where firefighters are searching for a missing 7-month-old baby.",http://www.laht.com/article.asp?ArticleId=358940&CategoryId=14090,,,,,,,Dois Unidos,"3093766,34475","Dois Unidos neighborhood, Recife, , Pernambucu",POINT Z (-34.91266096 -7.99823199 2399),POINT (-34.91266096 -7.99823199)
"-7,99823199","-34,91266096",2400,Brazil,2010-06-18,18,6,2010,S. America,1,rainfall,"The other two fatalities, a 1-year-old boy and an adult, were also buried under different mudslides in the Dois Unidos neighborhood, where firefighters are searching for a missing 7-month-old baby.",http://www.laht.com/article.asp?ArticleId=358940&CategoryId=14090,,,,,,,Dois Unidos,"3093766,34475","Dois Unidos neighborhood, Recife, , Pernambucu",POINT Z (-34.91266096 -7.99823199 2400),POINT (-34.91266096 -7.99823199)
"-22,44411024","-42,96965154",3196,Brazil,2012-04-06,6,4,2012,S. America,1,rainfall,"Mudslides triggered by torrential rains in the southeastern Brazilian city of Teresopolis have left five dead, authorities said.

Through Friday night, emergency management officials had reported three dead, including one minor, but the discovery of the",http://www.laht.com/article.asp?ArticleId=489211&CategoryId=14090,,,,,,,Santa Cecilia,"1071090,36203","Santa Cecilia sector , Teresopolis",POINT Z (-42.96965154 -22.44411024 3196),POINT (-42.96965154 -22.44411024)
"-22,94003975","-43,24628635",2287,Brazil,2010-04-05,5,4,2010,S. America,4,rainfall,"In the Morro do Borel in Tijuca, another landslide killed Marcelle Barbosa, just 5 months, and an adolescent of 16 years, not yet identified.  Ambas chegaram mortas ao Hospital do Andaraí. Both arrived dead at the Hospital of Andarai. Uma terceira víti",http://oglobo.globo.com/rio/mat/2010/04/06/deslizamentos-de-terras-causam-mortes-transtornos-em-varios-pontos-do-rio-916260716.asp,,,,,,,Morro do Borel in Tijuca,"4816623,46782",Morro do Borel in Tijuca,POINT Z (-43.24628635 -22.94003975 2287),POINT (-43.24628635 -22.94003975)
"-22,9170995","-43,08796315",2289,Brazil,2010-04-05,5,4,2010,S. America,1,rainfall,"In the district of San Francisco, also in Niteroi, barrier fell and pulled a car into the house of the sailor Torben Grael Estrada Froes.  O iatista ajudou a resgatar a mulher e uma criança que estavam no carro, mas o motorista e pai da família não re",http://oglobo.globo.com/rio/mat/2010/04/06/deslizamentos-de-terras-causam-mortes-transtornos-em-varios-pontos-do-rio-916260716.asp,,http://oglobo.globo.com/rio/mat/2010/04/11/numero-de-mortos-em-consequencia-das-chuvas-no-rio-ultrapassa-220-916313717.asp,,,,,San Francisco,"3476015,56834","San Francisco, Niteroi",POINT Z (-43.08796315 -22.9170995 2289),POINT (-43.08796315 -22.9170995)
"-22,89120896","-43,09653483",2297,Brazil,2010-04-05,5,4,2010,S. America,33,rainfall,"With over a body found in rubble by the Fire Department on Sunday morning, rising to 33 the number of victims in the community of Kubango. No estado, são agora 224 mortos em decorrência das chuvas.",http://oglobo.globo.com/,,,,,,,Cubango,"1090048,08925",Cubango,POINT Z (-43.09653483 -22.89120896 2297),POINT (-43.09653483 -22.89120896)
"-3,127023424","-59,94795024",2630,Brazil,2010-10-17,17,10,2010,S. America,2,construction,"Equipes do Corpo de Bombeiros retomaram na manhã desta segunda-feira as buscas pelos desaparecidos em consequência de deslizamentos de terra ocorridos domingo (17) no porto Chibatão, em Manaus.

O acidente aconteceu quando uma retroescavadeira fazia a",http://www1.folha.uol.com.br/cotidiano/816262-bombeiros-buscam-desaparecidos-apos-deslizamentos-no-porto-chibatao-em-manaus.shtml,,,,,,,Porto chibatao,"78039575,1566","porto Chibatão, Manaus",POINT Z (-59.94795024 -3.127023424 2630),POINT (-59.94795024 -3.127023424)
"-22,43015218","-42,9638444",3195,Brazil,2012-04-06,6,4,2012,S. America,1,rainfall,"Mudslides triggered by torrential rains in the southeastern Brazilian city of Teresopolis have left five dead, authorities said.

Through Friday night, emergency management officials had reported three dead, including one minor, but the discovery of the",http://www.laht.com/article.asp?ArticleId=489211&CategoryId=14090,,,,,,,Bairro da São Pedro,"1346363,32837","Pimentel neighborhood, Teresopolis",POINT Z (-42.9638444 -22.43015218 3195),POINT (-42.9638444 -22.43015218)
"-12,93758876","-38,48764169",4314,Brazil,2015-04-28,28,4,2015,S. America,7,rainfall,"At least 14 people were killed in landslides in the city of Salvador in north-east Brazil on Monday.

Heavy rains flooded streets and triggered two separate landslides, sweeping away hillside homes in poor neighbourhoods and injuring 10 people.

Resident",http://www.bbc.com/news/world-latin-america-32494686,,,,,,,Alto_do_peru,"662494,442959","Barro Branco, Salvador",POINT Z (-38.48764169 -12.93758876 4314),POINT (-38.48764169 -12.93758876)
"-12,91487714","-38,42585528",4315,Brazil,2015-04-28,28,4,2015,S. America,7,rainfall,"At least 14 people were killed in landslides in the city of Salvador in north-east Brazil on Monday.

Heavy rains flooded streets and triggered two separate landslides, sweeping away hillside homes in poor neighbourhoods and injuring 10 people.

Resident",http://www.bbc.com/news/world-latin-america-32494686,,,,,,,Novo Marotinho,"123857,359027","Marotinho, Salvador",POINT Z (-38.42585528 -12.91487714 4315),POINT (-38.42585528 -12.91487714)
"-23,77765327","-45,61255811",4628,Brazil,2016-02-29,29,2,2016,S. America,2,rainfall,"Heavy rain in south eastern Brazil has caused a deadly landslide in São Sebastião, São Paulo State, and widespread flooding in the streets of Rio de Janeiro city, where some areas saw over 90mm of rain in 4 hours.

São Paulo

The heavy rain began to",https://www.sott.net/article/313472-Landslide-in-Sao-Paulo-Brazil-kills-2-Rio-de-Janeiro-floods-after-100-mm-of-rain-in-4-hours,,,,,,,Boicucanga,"6667311,94717","Boicucanga neighbourhood of São Sebastião, Sao P",POINT Z (-45.61255811 -23.77765327 4628),POINT (-45.61255811 -23.77765327)
"-23,2736704","-46,73457061",4640,Brazil,2016-03-10,10,3,2016,S. America,8,rainfall,"At least 15 people were killed on Thursday night by landslides provoked by heavy rains and floods in the urban area of Sao Paulo, the city's fire department announced on Friday.

One landslide in the town of Mairipora left four people dead and seven othe",http://www.shanghaidaily.com/article/article_xinhua.aspx?id=323109,"In Francisco Morato during the night, in Jardim Sílvia, there was another landslide, killing eight people and leaving eight injured. - See more at: http://riotimesonline.com/brazil-news/rio-politics/heavy-rains-across-sao-paulo-state-leave-18-dead/#stha",http://riotimesonline.com/brazil-news/rio-politics/heavy-rains-across-sao-paulo-state-leave-18-dead/,,,,,Jardim Sílvia,"472387,356194","Jardim Sílvia, Francisco Morato, Sao Paolo",POINT Z (-46.73457061 -23.2736704 4640),POINT (-46.73457061 -23.2736704)
"42,70602924","23,14555651",287,Bulgaria,2005-02-23,23,2,2005,E. Europe,1,construction,"A Bulgarian worker was buried alive by a large mud mass as he was installing water-supply pipes near Sofia.  The accident was probably triggered by humid weather, rescuers suggested.  The victim, a man aged 55, was at a construction site in Bankya, a pop",,,,,,,,Bankya,"9279592,67966","Bankya, just outside Sofia.",POINT Z (23.14555651 42.70602924 287),POINT (23.14555651 42.70602924)
"42,41992019","25,60620509",871,Bulgaria,2006-11-30,30,11,2006,E. Europe,1,construction,"A worker died Thursday in the central Bulgaria town Stara Zagora during excavation works, local police reported.  The accident happened around 3:30 p.m. in the Tri Chuchura neighbourhood. Inspection on the spot revealed excavation works caused a landslid",http://www.novinite.com/view_news.php?id=73435,,,,,,,Tri Chuchura,"237727,980068","Tri Chuchura, Stara Zagora",POINT Z (25.60620509 42.41992019 871),POINT (25.60620509 42.41992019)
"42,01448368","24,87730097",1205,Bulgaria,2007-09-11,11,9,2007,E. Europe,1,construction,An 8-year-old boy died Tuesday afternoon after he was buried by a large mass of land in Bulgaria's town of Asenovgrad.  The accident occurred while the victim and a friend of his were digging a hole in a slope in the outskirts of the town.  The boy decid,http://www.novinite.com/view_news.php?id=85198,,,,,,,Asenovgrad,"9518813,24266",Asenovgrad,POINT Z (24.87730097 42.01448368 1205),POINT (24.87730097 42.01448368)
"43,14514363","23,71128745",3824,Bulgaria,2013-10-11,11,10,2013,E. Europe,2,construction,"Two workers have died after a landslide occurred during sewer repair works in Bulgaria’s northern town of Mezdra, according to local media. The accident took place on Friday. One of the victims, a 23-year-old Bulgarian national, died on the spot, while",http://www.novinite.com/view_news.php?id=154528,,,,,,,Mezdra,"3216262,59778",Mezdra,POINT Z (23.71128745 43.14514363 3824),POINT (23.71128745 43.14514363)
"12,2995263","-3,55298205",4682,Burkina Faso,2016-04-18,18,4,2016,W. Africa,7,illegal mining,"A landslide has hit an artisanal mining site in Burkina Faso, killing at least eight people and injuring three others, local media reports.

The landslide struck the gold mine in Kari village, some 230 km west of the capital Ouagadougou, early Monday mo",http://www.shanghaidaily.com/article/article_xinhua.aspx?id=327232,,,,,,,Kari,"9173679,02092",Kari village,POINT Z (-3.55298205 12.2995263 4682),POINT (-3.55298205 12.2995263)
"4,037774176","9,666161459",498,Cameroon,2005-09-15,15,9,2005,M. Africa,3,rainfall,"A thunderstorm killed seven mourners and injured 17 others in northern Nigeria's Yobe state as incessant downpours continued to sweep West and Central Africa, a government official said on Friday.  Three peopled were also killed in Douala, the economic c","http://www.news24.com/News24/Africa/News/0,6119,2-11-1447_1771931,00.html",,,,,,,Douala,"865314877,716",Douala,POINT Z (9.666161459 4.037774176 498),POINT (9.666161459 4.037774176)
"4,053007406","9,726304727",1802,Cameroon,2009-04-26,26,4,2009,M. Africa,4,rainfall,Douala: landslide kills 1and injures 4 people in Bepanda: Four victims have been pulled out of rubbles from a landslide that took place last week end in the Bepanda neighbourhood in Douala.,http://www.crtv.cm/cont/nouvelles/nouvelles_sola_fr.php?idField=4022&table=nouvelles&sub=national,,,,,,,Bepanda,"1563280,53929","Bepanda, Douala",POINT Z (9.726304727 4.053007406 1802),POINT (9.726304727 4.053007406)
