WKT,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_acc,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,source,method,img_type,sat_date_b,sat_date_a,citation
POINT (-118.1936 45.3537000000001),Oregon DOT,,8597,2012/04/14,20:00,"I 84, milepost 255",,"I 84, milepost 255",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8597,45.3537,-118.1936,United States,US,Oregon,La Grande,9.61,2016/07/07,,COOLR_R,,,,,
POINT (36.6905 -1.16789999999997),citizennews.co.ke,http://citizennews.co.ke/news/2012/local/item/9934-3-children-dead-after-landslide-in-magina-village-limuru,4826,2013/04/27,,"Magina, Limuru",A family of six was on Saturday swept away by the landslides caused by the heavy down pour being experienced in the country.,"Magina, Limuru",5km,landslide,rain,medium,unknown,6.0,0.0,,,,GLC,4826,-1.1679,36.6905,Kenya,KE,Kiambu,Brackenhurst,5.67,2014/04/01,,COOLR_R,,,,,
POINT (45.6886000000001 40.9959000000001),en.trend,http://en.trend.az/news/incident/1677271.html,1787,2010/04/27,06:00,"Garibli(?) village, Tovuz region",A landslide that occurred in the Tovuz region of Azerbaijan (420 kilometers from Baku) killed four members of one family.  The Azerbaijani Emergency Situations Ministry reported that the landslide occurred in the Garibli village in the Tovuz region at 6:,"Garibli(?) village, Tovuz region",25km,landslide,downpour,medium,unknown,4.0,0.0,,,,GLC,1787,40.9959,45.6886,Azerbaijan,AZ,Azerbaijan,Tauz,5.22,2014/04/01,,COOLR_R,,,,,
POINT (104.913084985 21.0494239660001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Da Bac 2017,Da Bac Hoa Binh Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.04942397,104.91308499,Vietnam,VN,Hoa Binh,Xom Tang,24.67,,,COOLR_R,,,,,
POINT (93.7379827820001 23.437677572),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.43767757,93.73798278,Myanmar,MM,Chin,Letha,21.64,,,COOLR_R,,,,,
POINT (93.89283335 23.588472617),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.58847262,93.89283335,Myanmar,MM,Chin,Seksih,5.99,,,COOLR_R,,,,,
POINT (102.363587575 19.668618759),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Xieng Ngeun 2018,Xieng Ngeun Luang Prabang Laos 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,19.66861876,102.36358758,Laos,LA,Louangphabang,Ban Pak Mene,12.26,,,COOLR_R,,,,,
POINT (-87.1528 14.0468000000001),La Tribuna,http://www.latribuna.hn/2015/06/13/lluvias-siguen-provocando-deslizamientos-en-el-oriente-de-tegucigalpa/,7463,2015/06/13,09:00,"Villa Vieja, near the motel Luxor",The fire corps called for caution to drivers as there could be more landslides in the area.,"Villa Vieja, near the motel Luxor",5km,rock_fall,rain,medium,above_road,0.0,0.0,,,,GLC,7463,14.0468,-87.1528,Honduras,HN,Francisco Morazán,Toncontin International,7.09,2016/02/08,,COOLR_R,,,,,
POINT (94.5238000000001 26.0093000000001),morungexpress,http://www.morungexpress.com/local/51540.html,2042,2010/07/06,,"Zunheboto, Nagaland",Dimapur| July 12  : Yet another monsoon season in Nagaland and one has to batter bad roads.    This year’s monsoon has been the worse by far.  The scenario is no different inside the towns. A glimpse is all you need to notice the neglected state of roa,"Zunheboto, Nagaland",5km,mudslide,monsoon,medium,unknown,0.0,0.0,,,,GLC,2042,26.0093,94.5238,India,IN,Nagaland,Yezami,7.35,2014/04/01,,COOLR_R,,,,,
POINT (93.9009091390001 23.5583945160001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.55839452,93.90090914,Myanmar,MM,Chin,Seksih,9.26,,,COOLR_R,,,,,
POINT (-118.8419 50.6082000000001),Global News,http://globalnews.ca/news/1585821/watch-kingfisher-interpretive-centre-making-progress-after-landslide/,6260,2014/04/30,,Kingfisher Interpretive Centre,"“It did quite a bit of damage around the site. We got mud and water inside the hatchery, we lost a fair bit of equipment, all of our trails or most of our trails here were compromised,” says operations manager Neil Brookes.",Kingfisher Interpretive Centre,10km,debris_flow,rain,medium,above_river,0.0,0.0,,,,GLC,6260,50.6082,-118.8419,Canada,CA,British Columbia,Mabel Lake,6.63,2014/10/17,,COOLR_R,,,,,
POINT (93.7955242370001 23.630097704),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.6300977,93.79552424,Myanmar,MM,Chin,Seksih,10.84,,,COOLR_R,,,,,
POINT (102.284742999 19.6282484020001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Xieng Ngeun 2018,Xieng Ngeun Luang Prabang Laos 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,19.6282484,102.284743,Laos,LA,Louangphabang,Xiang Ngeun,18.34,,,COOLR_R,,,,,
POINT (-121.0941 47.7459000000001),kirotv.com,http://www.kirotv.com/news/news/stevens-pass-after-avalanche/nd6Hr/#http://www.kirotv.com/news/news/stevens-pass-after-avalanche/nd6Hr/,5920,2014/03/05,09:00,"93001 Stevens Pass Hwy Skykomish, WA 98288","Stevens Pass was closed after an avalanche Wednesday morning, but reopened shortly after 3:30 p.m. near Grunenfelder Road Southwest.  Water, mud and debris have continued to slide in the area since an initial slide on Feb. 18 occurred after a series of h","93001 Stevens Pass Hwy Skykomish, WA 98288",5km,snow_avalanche,unknown,medium,above_road,0.0,0.0,,,,GLC,5920,47.7459,-121.0941,United States,US,Washington,Scenic,5.29,2014/08/24,,COOLR_R,,,,,
POINT (92.8112 23.4495000000001),The Indian Express,http://indianexpress.com/article/india/india-others/mizorams-power-lifeline-on-shaky-ground-after-landslip/,7972,2015/08/28,02:00,"Mizoram, India","A downpour was drenching the old building at 1.45am on August 28 when what seemed to be a tremor struck. Several glass panes on windows lining the western wall cracked and broke, as did parts of the concrete wall of the control room of the 132KV power su","Mizoram, India",25km,landslide,downpour,large,unknown,0.0,0.0,,,,GLC,7972,23.4495,92.8112,India,IN,Mizoram,Mizoram,9.74,2016/06/30,,COOLR_R,,,,,
POINT (103.852375767 22.1232751310001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Than Uyen 2018,Than Uyen Lai Chau Vietnam 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.12327513,103.85237577,Vietnam,VN,Lao Cai,Pac Tha,5.14,,,COOLR_R,,,,,
POINT (103.856175945 22.1398744570001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Than Uyen 2018,Than Uyen Lai Chau Vietnam 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.13987446,103.85617595,Vietnam,VN,Lao Cai,Pac Tha,7.01,,,COOLR_R,,,,,
POINT (125.249492705 12.28504294),Phillipine Daily Inquirer,https://www.pressreader.com/philippines/philippine-daily-inquirer/20181124/281702615763837,14476,2018/11/24,unknown,"Flood and Landslide in Jipapad, Phillipines","A landslide in neighboring Roxas, coupled with flooding in the village proper has resulted in Jipapad being isolated.",6819,exact,landslide,tropical_cyclone,large,urban,0.0,0.0,Samuel,,"While fatalities are 0, the town is completely cut off via its trade route of Roxas. There are fears of starvation.",GLC,,12.28504294,125.24949271,Philippines,PH,Eastern Samar,Jipapad,2.11,2020/08/07,,COOLR_R,,,,,
POINT (-87.227 14.0783000000001),laht,http://www.laht.com/article.asp?ArticleId=362212&CategoryId=23558,2217,2010/08/07,02:00,El Retiro suburb in the extreme northwest of Tegucigalpa,"Three young brothers died in a poor suburb of Tegucigalpa under a mudslide caused by torrential rains, local firefighter’s chief Carlos Cordero said Saturday. He told reporters that two of the bodies were recovered from among the rubble around midnight",El Retiro suburb in the extreme northwest of Tegucigalpa,5km,mudslide,downpour,medium,unknown,3.0,0.0,,,,GLC,2217,14.0783,-87.227,Honduras,HN,Francisco Morazán,Toncontin International,2.3,2014/04/01,,COOLR_R,,,,,
POINT (103.35096211 22.7134987420001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Phong Tho 2018,Phong Tho Lai Chau Vietnam 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.71349874,103.35096211,Vietnam,VN,Lai Chau,Ma Li Chai,6.36,,,COOLR_R,,,,,
POINT (104.680914626 21.1906412380001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Phu Yen 2017,Phu Yen Son La Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.19064124,104.68091463,Vietnam,VN,Son La,Ban Pho,8.41,,,COOLR_R,,,,,
POINT (104.475675715 21.285292054),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Phu Yen 2017,Phu Yen Son La Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.28529205,104.47567572,Vietnam,VN,Son La,Ban Pho,18.1,,,COOLR_R,,,,,
POINT (103.606906215 22.7345210280001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Bat Xat 2017,Bat Xat Lao Cai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.73452103,103.60690622,Vietnam,VN,Lao Cai,Hsiao-ho-kou,21.45,,,COOLR_R,,,,,
POINT (104.971593341 20.925632991),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Da Bac 2017,Da Bac Hoa Binh Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,20.92563299,104.97159334,Vietnam,VN,Hoa Binh,Gieu Ca,16.32,,,COOLR_R,,,,,
POINT (104.062268432 21.80257806),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Mu Chang Chai 2017,Mu Chang Chai Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.80257806,104.06226843,Vietnam,VN,Yen Bai,Poun Loung,15.49,,,COOLR_R,,,,,
POINT (104.926465881 20.947191962),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Phu Yen 2017,Phu Yen Son La Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,20.94719196,104.92646588,Vietnam,VN,Son La,Gieu Ca,21.28,,,COOLR_R,,,,,
POINT (-43.288 -23.0099),maps.google.com,"http://maps.google.com.br/maps/ms?source=embed&hl=pt-BR&geocode=&ie=UTF8&hq=&hnear=Rio+de+Janeiro&msa=0&msid=110026147481356317915.0004839536552b00e40d1&ll=-22.941638,-43.204765&spn=0.110658,0.145912&z=12",1698,2010/04/06,,"Joa tunnel exit, Joa","Exit of the Tunnel Joah  Slippage of the slope, slowly, a lot of land on the runway.","Joa tunnel exit, Joa",1km,landslide,downpour,medium,unknown,0.0,0.0,,,,GLC,1698,-23.0099,-43.288,Brazil,BR,Rio de Janeiro,Santos Dumont,17.01,2014/04/01,,COOLR_R,,,,,
POINT (93.5685612440001 22.335231498),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Hakha 2015,Hakha Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.3352315,93.56856124,Myanmar,MM,Chin,Surngen,12.41,,,COOLR_R,,,,,
POINT (-116.9999 32.525),hisz.rsoe,http://hisz.rsoe.hu/alertmap/woalert_read.php?lang=eng&cid=25962&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+RsoeEdis-EmergencyAndDisasterInformation+%28RSOE+EDIS+-+Emergency+and+Disaster+Information%29,1838,2010/05/05,,Tijuana,"A mudslide in Tijuana city in Mexico's northern state of Baja California has left 35 families homeless, a senior official said Tuesday. ""Electricity, water and gas have been cut off in the disaster zone,"" Jose Francisco Blake Mora, head of the state gove",Tijuana,10km,mudslide,rain,medium,unknown,0.0,0.0,,,,GLC,1838,32.525,-116.9999,Mexico,MX,Baja California,Tijuana,1.92,2014/12/11,,COOLR_R,,,,,
POINT (35.498171945 1.28045749900002),"Benz, G., and Stanley, T. (2020). Pokot Landslide Inventory.",https://www.capitalfm.co.ke/news/2019/11/landslide-death-toll-in-west-pokot-rises-to-43/,20943,2019/11/23,unknown,2019 West Pokot Landslides,,,exact,,rain,,,0.0,0.0,,,"Location digitized from Sentinel image for April 6, 2020",Pokot,,1.2804575,35.49817195,Kenya,KE,West Pokot,Cherangany Hills,8.43,,,COOLR_R,,,,,
POINT (104.092117597 21.8093396080001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Mu Chang Chai 2017,Mu Chang Chai Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.80933961,104.0921176,Vietnam,VN,Yen Bai,Poun Loung,13.3,,,COOLR_R,,,,,
POINT (103.9847 21.2331),english.vietnamnet.vn,http://english.vietnamnet.vn/fms/society/80227/floods--landslides-blight-northern-vn.html,5222,2013/07/28,,Son La,"In Son La Province, many roads have been inundated by flooding, causing serious congestion. One part of the National Highway 6 passing through the Chieng Mung Commune in Mai Son District, in particular, was completely submerged by water, creating traffic",Son La,unknown,rock_fall,rain,medium,unknown,0.0,0.0,,,,GLC,5222,21.2331,103.9847,Vietnam,VN,Son La,Na San,5.65,2014/04/01,,COOLR_R,,,,,
POINT (93.9581453540001 23.6619189940001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.66191899,93.95814535,Myanmar,MM,Chin,Seksih,6.23,,,COOLR_R,,,,,
POINT (-123.5356 45.897),Oregon DOT,,7954,2016/03/24,14:00,"OR 103, milepost 4.7",,"OR 103, milepost 4.7",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,7954,45.897,-123.5356,United States,US,Oregon,Nehalem River,18.02,2016/06/30,,COOLR_R,,,,,
POINT (-124.4677 49.3507000000001),Prince George Citizen,http://www.princegeorgecitizen.com/news/local-news/firefighters-free-vancouver-island-man-trapped-in-home-destroyed-by-mudslide-1.1659972,6473,2014/12/10,10:00,"Qualicum Beach, B.C.","Acciavetti says about a dozen homes in the area are now under an evacuation order due to the risk of another landslide, and an emergency reception centre has been set up at the Qualicum Beach Civic Centre","Qualicum Beach, B.C.",25km,landslide,downpour,small,above_river,0.0,1.0,,http://www.vancouversun.com/news/metro/cms/binary/10459822.jpg,,GLC,6473,49.3507,-124.4677,Canada,CA,British Columbia,Qualicum Beach,1.12,2014/12/15,,COOLR_R,,,,,
POINT (103.84723873 22.1121431450001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Than Uyen 2018,Than Uyen Lai Chau Vietnam 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.11214315,103.84723873,Vietnam,VN,Lao Cai,Pac Tha,3.89,,,COOLR_R,,,,,
POINT (107.4706 -6.83449999999993),Jakarta Globe,http://thejakartaglobe.beritasatu.com/news/mother-son-die-padalarang-landslide/,6608,2014/12/28,03:00,Padalarang,"A landslide triggered by heavy rain has swamped a house in Padalarang in West Java, killing a mother and son.",Padalarang,10km,landslide,downpour,medium,unknown,2.0,1.0,,,,GLC,6608,-6.8345,107.4706,Indonesia,ID,Jawa Barat,Husein Sastranegara,13.84,2014/12/29,,COOLR_R,,,,,
POINT (174.7133 -41.2614),livenews.co.nz,http://livenews.co.nz/2013/09/02/july-2013-landslides/,5095,2013/07/14,,"Makara Road, Wellington, New Zealand","In Wellington, a landslip blocked the Makara Road (near Makara).","Makara Road, Wellington, New Zealand",5km,landslide,downpour,small,unknown,0.0,0.0,,,,GLC,5095,-41.2614,174.7133,New Zealand,NZ,Wellington,Wellington,10.73,2014/04/01,,COOLR_R,,,,,
POINT (93.7805534550001 22.57898841),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Hakha 2015,Hakha Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,22.57898841,93.78055346,Myanmar,MM,Chin,Bungtuah,19.38,,,COOLR_R,,,,,
POINT (104.068874702 21.813185107),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Mu Chang Chai 2017,Mu Chang Chai Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.81318511,104.0688747,Vietnam,VN,Yen Bai,Poun Loung,15.51,,,COOLR_R,,,,,
POINT (93.9414487660001 23.47939519),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.47939519,93.94144877,Myanmar,MM,Chin,Neyinzaya Chaung,15.36,,,COOLR_R,,,,,
POINT (82.8210000000001 28.0084000000001),Business Standard,http://www.business-standard.com/article/pti-stories/13-killed-in-nepal-landslides-114062100152_1.html,6082,2014/06/20,,Pyuthan District,"At least 13 people, including nine from one family, were killed in two separate incidents of landslide triggered by heavy rains in western Nepal. In a separate incident, four people were killed when their house collapsed due to incessant rain in neighbou",Pyuthan District,10km,landslide,continuous_rain,small,unknown,4.0,0.0,,,,GLC,6082,28.0084,82.821,Nepal,NP,Rapti,Pyuthan,11.84,2014/08/24,,COOLR_R,,,,,
POINT (104.544407602 21.282125867),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Phu Yen 2017,Phu Yen Son La Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.28212587,104.5444076,Vietnam,VN,Son La,Ban Pho,11.03,,,COOLR_R,,,,,
