WKT_GEOM,NEW DATASET,ID,OLD DATASET,OLD ID,VERSION,COUNTRY,ACCURACY,START DATE,END DATE,TYPE,TRIGGER,AFFIDABILITY,PSV,DCMV,FATALITIES,INJURIES,NOTES,LINK
POINT (-119.0029 43.7624000000001),UGLC,CALC,COOLR_R,8451,2019,United States,0.0,2013/09/04,2013/09/04,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: US 395, milepost 56, description: ND",Source: ND
POINT (93.830999235 23.6814946850001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (104.37499965 21.5399780400001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Tram Tau Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.9185667780001 23.799938952),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (93.9840686410001 23.81055366),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (104.439629253 21.3874545840001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Tram Tau Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (104.039392166 21.649456833),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Muong La Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.773752642 23.6120079990001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (104.069893499 21.7977428570001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Mu Chang Chai Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (98.91078809 21.0017721),UGLC,CALC,COOLR_R,12320,2019,Myanmar,0.0,1956/01/01,2023/01/01,slide,ND,2,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: ND",Source: https://servir.adpc.net/
POINT (93.8851507790001 23.340447972),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (104.608794813 20.420829241),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Muong Lat Tanh Hoa Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (-118.1936 45.3537000000001),UGLC,CALC,COOLR_R,8597,2019,United States,0.0,2012/04/14,2012/04/14,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: I 84, milepost 255, description: ND",Source: ND
POINT (36.6905 -1.16789999999997),UGLC,CALC,COOLR_R,4826,2019,Kenya,5000.0,2013/04/27,2013/04/27,slide,rainfall,9,CALC,CALC,6.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Magina, Limuru, description: A family of six was on Saturday swept away by the landslides caused by the heavy down pour being experienced in the country.",Source: http://citizennews.co.ke/news/2012/local/item/9934-3-children-dead-after-landslide-in-magina-village-limuru
POINT (45.6886000000001 40.9959000000001),UGLC,CALC,COOLR_R,1787,2019,Azerbaijan,25000.0,2010/04/27,2010/04/27,slide,rainfall,9,CALC,CALC,4.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Garibli(?) village, Tovuz region, description: A landslide that occurred in the Tovuz region of Azerbaijan (420 kilometers from Baku) killed four members of one family.  The Azerbaijani Emergency Situations Ministry reported that the landslide occurred in the Garibli village in the Tovuz region at 6:",Source: http://en.trend.az/news/incident/1677271.html
POINT (104.913084985 21.0494239660001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Da Bac Hoa Binh Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.7379827820001 23.437677572),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (93.89283335 23.588472617),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (102.363587575 19.668618759),UGLC,CALC,COOLR_R,ND,2019,Laos,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Xieng Ngeun Luang Prabang Laos 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (-87.1528 14.0468000000001),UGLC,CALC,COOLR_R,7463,2019,Honduras,5000.0,2015/06/13,2015/06/13,rock fall,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Villa Vieja, near the motel Luxor, description: The fire corps called for caution to drivers as there could be more landslides in the area.",Source: http://www.latribuna.hn/2015/06/13/lluvias-siguen-provocando-deslizamientos-en-el-oriente-de-tegucigalpa/
POINT (94.5238000000001 26.0093000000001),UGLC,CALC,COOLR_R,2042,2019,India,5000.0,2010/07/06,2010/07/06,mudslide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Zunheboto, Nagaland, description: Dimapur| July 12  : Yet another monsoon season in Nagaland and one has to batter bad roads.    This year’s monsoon has been the worse by far.  The scenario is no different inside the towns. A glimpse is all you need to notice the neglected state of roa",Source: http://www.morungexpress.com/local/51540.html
POINT (93.9009091390001 23.5583945160001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (-118.8419 50.6082000000001),UGLC,CALC,COOLR_R,6260,2019,Canada,10000.0,2014/04/30,2014/04/30,debris flow,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Kingfisher Interpretive Centre, description: “It did quite a bit of damage around the site. We got mud and water inside the hatchery, we lost a fair bit of equipment, all of our trails or most of our trails here were compromised,” says operations manager Neil Brookes.",Source: http://globalnews.ca/news/1585821/watch-kingfisher-interpretive-centre-making-progress-after-landslide/
POINT (93.7955242370001 23.630097704),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (102.284742999 19.6282484020001),UGLC,CALC,COOLR_R,ND,2019,Laos,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Xieng Ngeun Luang Prabang Laos 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (-121.0941 47.7459000000001),UGLC,CALC,COOLR_R,5920,2019,United States,5000.0,2014/03/05,2014/03/05,snow avalanche,ND,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: 93001 Stevens Pass Hwy Skykomish, WA 98288, description: Stevens Pass was closed after an avalanche Wednesday morning, but reopened shortly after 3:30 p.m. near Grunenfelder Road Southwest.  Water, mud and debris have continued to slide in the area since an initial slide on Feb. 18 occurred after a series of h",Source: http://www.kirotv.com/news/news/stevens-pass-after-avalanche/nd6Hr/#http://www.kirotv.com/news/news/stevens-pass-after-avalanche/nd6Hr/
POINT (92.8112 23.4495000000001),UGLC,CALC,COOLR_R,7972,2019,India,25000.0,2015/08/28,2015/08/28,slide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Mizoram, India, description: A downpour was drenching the old building at 1.45am on August 28 when what seemed to be a tremor struck. Several glass panes on windows lining the western wall cracked and broke, as did parts of the concrete wall of the control room of the 132KV power su",Source: http://indianexpress.com/article/india/india-others/mizorams-power-lifeline-on-shaky-ground-after-landslip/
POINT (103.852375767 22.1232751310001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Than Uyen Lai Chau Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (103.856175945 22.1398744570001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Than Uyen Lai Chau Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (125.249492705 12.28504294),UGLC,CALC,COOLR_R,14476,2019,Philippines,0.0,2018/11/24,2018/11/24,slide,rainfall,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: 6819, description: A landslide in neighboring Roxas, coupled with flooding in the village proper has resulted in Jipapad being isolated.",Source: https://www.pressreader.com/philippines/philippine-daily-inquirer/20181124/281702615763837
POINT (-87.227 14.0783000000001),UGLC,CALC,COOLR_R,2217,2019,Honduras,5000.0,2010/08/07,2010/08/07,mudslide,rainfall,9,CALC,CALC,3.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: El Retiro suburb in the extreme northwest of Tegucigalpa, description: Three young brothers died in a poor suburb of Tegucigalpa under a mudslide caused by torrential rains, local firefighter’s chief Carlos Cordero said Saturday. He told reporters that two of the bodies were recovered from among the rubble around midnight",Source: http://www.laht.com/article.asp?ArticleId=362212&CategoryId=23558
POINT (103.35096211 22.7134987420001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phong Tho Lai Chau Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (104.680914626 21.1906412380001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (104.475675715 21.285292054),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (103.606906215 22.7345210280001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Bat Xat Lao Cai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (104.971593341 20.925632991),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Da Bac Hoa Binh Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (104.062268432 21.80257806),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Mu Chang Chai Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (104.926465881 20.947191962),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (-43.288 -23.0099),UGLC,CALC,COOLR_R,1698,2019,Brazil,1000.0,2010/04/06,2010/04/06,slide,rainfall,7,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Joa tunnel exit, Joa, description: Exit of the Tunnel Joah  Slippage of the slope, slowly, a lot of land on the runway.","Source: http://maps.google.com.br/maps/ms?source=embed&hl=pt-BR&geocode=&ie=UTF8&hq=&hnear=Rio+de+Janeiro&msa=0&msid=110026147481356317915.0004839536552b00e40d1&ll=-22.941638,-43.204765&spn=0.110658,0.145912&z=12"
POINT (93.5685612440001 22.335231498),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Hakha Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (-116.9999 32.525),UGLC,CALC,COOLR_R,1838,2019,Mexico,10000.0,2010/05/05,2010/05/05,mudslide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Tijuana, description: A mudslide in Tijuana city in Mexico's northern state of Baja California has left 35 families homeless, a senior official said Tuesday. ""Electricity, water and gas have been cut off in the disaster zone,"" Jose Francisco Blake Mora, head of the state gove",Source: http://hisz.rsoe.hu/alertmap/woalert_read.php?lang=eng&cid=25962&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+RsoeEdis-EmergencyAndDisasterInformation+%28RSOE+EDIS+-+Emergency+and+Disaster+Information%29
POINT (35.498171945 1.28045749900002),UGLC,CALC,COOLR_R,20943,2019,Kenya,0.0,2019/11/23,2019/11/23,ND,rainfall,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: ND",Source: https://www.capitalfm.co.ke/news/2019/11/landslide-death-toll-in-west-pokot-rises-to-43/
POINT (104.092117597 21.8093396080001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Mu Chang Chai Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (103.9847 21.2331),UGLC,CALC,COOLR_R,5222,2019,Vietnam,ND,2013/07/28,2013/07/28,rock fall,rainfall,10,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Son La, description: In Son La Province, many roads have been inundated by flooding, causing serious congestion. One part of the National Highway 6 passing through the Chieng Mung Commune in Mai Son District, in particular, was completely submerged by water, creating traffic",Source: http://english.vietnamnet.vn/fms/society/80227/floods--landslides-blight-northern-vn.html
POINT (93.9581453540001 23.6619189940001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (-123.5356 45.897),UGLC,CALC,COOLR_R,7954,2019,United States,0.0,2016/03/24,2016/03/24,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 103, milepost 4.7, description: ND",Source: ND
POINT (-124.4677 49.3507000000001),UGLC,CALC,COOLR_R,6473,2019,Canada,25000.0,2014/12/10,2014/12/10,slide,rainfall,9,CALC,CALC,0.0,1.0,"Cooperative Open Online Landslide Repository - NASA, locality: Qualicum Beach, B.C., description: Acciavetti says about a dozen homes in the area are now under an evacuation order due to the risk of another landslide, and an emergency reception centre has been set up at the Qualicum Beach Civic Centre",Source: http://www.princegeorgecitizen.com/news/local-news/firefighters-free-vancouver-island-man-trapped-in-home-destroyed-by-mudslide-1.1659972
POINT (103.84723873 22.1121431450001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Than Uyen Lai Chau Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (107.4706 -6.83449999999993),UGLC,CALC,COOLR_R,6608,2019,Indonesia,10000.0,2014/12/28,2014/12/28,slide,rainfall,9,CALC,CALC,2.0,1.0,"Cooperative Open Online Landslide Repository - NASA, locality: Padalarang, description: A landslide triggered by heavy rain has swamped a house in Padalarang in West Java, killing a mother and son.",Source: http://thejakartaglobe.beritasatu.com/news/mother-son-die-padalarang-landslide/
POINT (174.7133 -41.2614),UGLC,CALC,COOLR_R,5095,2019,New Zealand,5000.0,2013/07/14,2013/07/14,slide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Makara Road, Wellington, New Zealand, description: In Wellington, a landslip blocked the Makara Road (near Makara).",Source: http://livenews.co.nz/2013/09/02/july-2013-landslides/
POINT (93.7805534550001 22.57898841),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Hakha Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (104.068874702 21.813185107),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Mu Chang Chai Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.9414487660001 23.47939519),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (82.8210000000001 28.0084000000001),UGLC,CALC,COOLR_R,6082,2019,Nepal,10000.0,2014/06/20,2014/06/20,slide,rainfall,9,CALC,CALC,4.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Pyuthan District, description: At least 13 people, including nine from one family, were killed in two separate incidents of landslide triggered by heavy rains in western Nepal. In a separate incident, four people were killed when their house collapsed due to incessant rain in neighbou",Source: http://www.business-standard.com/article/pti-stories/13-killed-in-nepal-landslides-114062100152_1.html
POINT (104.544407602 21.282125867),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.666828691 22.647251506),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Hakha Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
POINT (83.686001 28.2191770000001),UGLC,CALC,COOLR_R,10877,2019,Nepal,10000.0,2016/09/18,2016/09/18,slide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Kushma Municipality – 11 in Parbat along the Pokhara-Baglung road section, description: The Pokhara-Baglung road section has been obstructed due to a landslide triggered by incessant rainfall on Sunday.  According to the District Police Office, Parbat, vehicular movement along the road section has been obstructed since 3:30 am today after t",Source: https://thehimalayantimes.com/nepal/landslide-obstructs-pokhara-baglung-road-section/
POINT (104.516758346 21.2862908120001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (131.097632851 33.4176790110001),UGLC,CALC,COOLR_R,11344,2019,Japan,1000.0,2018/04/11,2018/04/11,rotational slide,ND,7,CALC,CALC,6.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Yabakei area, Nakatsu, Oita Prefecture, Japan, description: Geological experts believe the landslide may have been triggered by a crack on the surface of the bedrock due to erosion. The landslide area measured 100 meters high and 200 meters wide. The mountain collapsed at 3:50am, sending huge boulders and debris",Source: https://mainichi.jp/english/articles/20180411/p2g/00m/0dm/023000c
POINT (104.78388687 20.548155969),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Muong Lat Tanh Hoa Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (97.5197712460001 16.6239153240001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Thaton Mon Myanmar 2019",Source: https://doi.org/10.1002/gdj3.145
POINT (104.588765271 21.283300174),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Phu Yen Son La Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (103.132806971 22.2960901590001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Sin Ho Lai Chau Vietnam 2018",Source: https://doi.org/10.1002/gdj3.145
POINT (-2.08849999999995 60.1346),UGLC,CALC,COOLR_R,159,2019,United Kingdom,5000.0,2007/08/06,2007/08/06,mudslide,rainfall,9,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: Foula, description: unpredicted by model",Source: http://www.shetland-news.co.uk/news_08_2007/Rain brings landslide to Foula.htm
